feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
V32,-4.096827021054405e-4,0.0010707994977542205,5.510765512254911e-4,0.003283521456098667,-0.007661301432173711,-0.023420865203651196,0.005849978214600477,0.011426605025547173,0.0016793073403450613,-0.004536659800682779,-0.018689157979776255,-0.03609850733875803,0.016979958725104445,-0.0072228263677600775,0.0030627376223212157,0.007927315255441833,-6.318467885190086e-4,-0.019556412181982744,-0.027011393911258653,-0.03314403570813859,-0.014114601140722586,-0.008218408434517885,0.031067243764743943,-0.023971465017557436,0.03407599670176209,0.0027043627047850243,-0.02641886029390801,0.0014065385668018337,0.016755846769077175,0.023822158494864788
V33,0.031781836579846914,0.01891032982856112,-5.149368391633014e-4,-0.0066479914337073225,0.014771630990695919,0.02192500868875236,-0.0022972800037003734,0.0016078613158405342,0.010003110318599417,-0.002955712720878214,0.018500345477828528,3.229539668530339e-5,0.013444301963053375,0.0045478092961618545,-0.0017087613016457791,0.00490308448079856,-0.014115925306792022,0.014486686529613121,-0.021549204398431353,-0.009973314557862238,-0.003050228894736187,0.0021953343305039005,0.008243506978509377,0.008011913035488752,0.01574126833207461,0.011788598896751913,-0.007382132442584417,-0.026154922447204024,-0.033661857595230694,0.024186490905326218
V34,1.4235778889168952e-4,1.0087473472369409e-4,-0.018109023727673205,0.002080189277537492,-0.0036157438656196743,0.03155361611856272,-0.018795849146075506,-0.031713477384871375,0.017899381707212163,0.0030241566961121975,-0.010403388549201833,0.030281993617910626,0.019446375306213744,-0.012067402862975822,0.0021560437747144812,-0.00988262790742693,-0.003302656361885689,-0.014737090157320715,0.012576814312765021,-0.03555977204412956,-0.04086220875614803,0.023508414547510112,-0.017379051803954167,-0.023811343232713215,0.018059828938697866,0.01297262251168743,-0.022886728603262133,-0.03356298640747084,0.0034189640258930377,0.015886018132384713
V35,-0.013414060184982299,-0.017354824555506288,0.019923528842157073,0.028817091370918944,-0.015271930108142512,0.028543793048610426,0.013043917771977085,0.005200148400030465,-0.0030045342548081395,-0.009806523370252932,0.017368598289073868,-0.0012682099685446507,-0.0037128744142490805,0.02661720049691402,-0.004390128460288608,-0.04680980106288609,-0.0063831684197965905,-0.009136560360825394,-0.01836999439441002,0.0380146277066911,-0.001785619546440636,0.007464458021753747,0.008999665176132156,0.009768489561868657,0.010979455235628582,-0.007746969710575187,-0.015044297457659974,-5.1929717631888e-4,0.015068941320381293,-0.007309755032700886
V36,0.011106608374283216,-0.025417519089654526,-0.02423762488982766,0.014349422254547047,0.02348168349227721,-0.009770748014393173,0.005489447763312409,0.05126792333429544,-0.0014490853967470073,-0.004187316088199793,0.011281812674200099,-0.0043433161347119645,-0.011320542567090733,0.02311531907524942,0.004774045525622813,-0.029515913092539255,0.019060173659176154,-0.013456898684938046,-0.016289022338238597,-0.0013147685293644958,-0.01611640760623628,-0.001086435232167126,0.0034340034646327517,0.010720642622954349,-0.006841607126513253,-0.01581714390448621,0.01180640859856854,0.0017724758480932572,0.0023956670334177995,-0.0026655989066129127
V37,0.033709450419997594,0.012981496278804714,0.010256265090504632,-0.009954828925366813,-0.003093608966785465,-0.011406381957309007,-0.005188125383268135,9.219274688513027e-4,0.0063935385088782215,0.019411615785164812,0.035660022661201295,-0.011504164629991919,-0.011905319977051017,0.026162847783729355,0.002374243356510055,-0.006006646177323632,-0.017789126909706406,-0.005068122984390354,3.2462932549425286e-4,0.015023973975124583,-0.020089689813499238,-0.016370938239439952,0.016310236330789773,-0.002623916559115408,-0.0075154252400380225,-0.02986919572053943,-0.0027048447865592818,-7.218487571025255e-4,0.04097537170781097,0.00965808335791207
V38,-0.006224941799382442,0.017649531883187776,-0.013793751947682243,7.80269936074575e-4,0.040029712284358136,0.03307705858773901,0.012583513036515384,-0.002774059955902315,-0.0206669484591751,-5.464147571472039e-4,0.014465426710069057,0.0020184602034243066,0.025674077937026644,-2.0748184615214225e-4,-0.01678722220173624,-0.01124194012161764,-0.027814712976412796,0.03361988024174532,-0.014288361108392482,-0.027842516933713386,-0.014811027347840107,0.047120414189207,0.011982806024921404,-0.01443177302078092,-0.021093110329660852,0.004321891422631669,-0.009497818937153313,0.0023915470933115984,-0.018388033610822294,-0.011080388250966466
V39,-0.011589318170373302,0.01773238825256349,0.022692939149125874,-0.02407843322536809,0.02010588357730049,-0.012839237480097439,0.017821522161157184,0.03542780940755544,-0.024274871790191367,-0.012892822712394803,0.018223329564584483,-0.012854667243382667,0.03958636022108389,-0.03164391884989608,0.015784944438923552,0.009974862100568083,-0.004379229126888902,-8.494768704908306e-4,0.0052545800397904435,-0.009973065712436382,0.011314499648888398,0.0070535884632740515,0.01060320799327222,-0.01677563580902228,-0.003138087092708897,-0.012872895887968765,-0.014773825406245854,-0.006957539683713096,0.023668053657575953,-0.016894887123724146
V40,0.0018430618197962433,0.00914518835143044,0.008238143337314468,-0.003792410552194151,-0.033554296785944834,0.004046089137734019,0.031089889367428868,-0.009566749431058235,0.032689015768379785,-0.004635683079089988,-0.005179467992652016,0.014479462077693399,-0.00669229852841579,-0.03707048897889308,-0.03298856980196837,-0.01306992004353623,0.006369285714775944,0.019145111493863824,0.04298011790962701,0.003202907291783615,0.027575375629845387,0.002076699683867721,-0.022530993332230985,0.002963571365343744,0.03461429451490308,-0.009177495640710808,-0.0028182551514563036,-0.029183332884803872,-0.036269917203141204,0.007747092965444232
V41,0.005444558230298905,-0.04021087895499456,-0.012052487159339955,-6.822564704528157e-4,0.013509583359348338,0.01627553128283257,-0.004376295019062983,0.045125450324436454,0.011363027365834243,8.761477771862958e-4,0.002474138974594783,-0.013441413357882402,0.011146940749583006,0.006892284507008182,0.00226544781716355,-0.03848148845684111,0.006991604800683469,0.0035098243683242382,-0.03067544392687608,-0.021248857885800453,-0.01039429459957375,-0.0029005985817134915,0.015557500528360954,-0.014540153401476838,0.0039980926262854774,0.006621443164674379,-0.007006980984553188,-0.006905005273875062,-0.005155728519294823,0.018084320821576846
V42,0.03130723093349963,0.005911606757929604,-0.0011058240709029407,-0.0036174455265366974,-0.004353378050586068,-0.02443022820444351,-0.0038076125663158394,-0.002174399510499429,-0.02042141864474215,0.014007475549226607,-0.006498039947725215,-0.006760527873947323,1.1826745418817783e-4,0.01883357829331149,0.013624684732947572,-0.04365111093159725,0.007274094385997801,0.0061884416086226265,-0.013836902858978392,-0.00854109403650527,0.019546992237549136,0.013060443870596966,-8.530997749970419e-4,-0.0017059907601060275,-0.004661539313592936,-0.01052600209511833,0.012065301546922931,-0.025118681102387654,-0.01736949373229874,0.0017231690014443283
V43,0.00238342824537254,-0.01101829861557699,-0.0015541396210422733,0.03664825236832825,-0.011744810068748997,-0.016373597229133115,0.0034573782051894493,0.007583534422348169,-0.01655917521493088,0.03536821979157744,0.005676942597305211,-0.007822095389972292,0.019540295743740378,-0.009911634729417198,-0.03866064116402784,-0.031017706100653727,0.026631766988628302,-0.017938229815084313,0.01663269345916335,0.00987213879030999,0.014481623679927353,0.012069433526868682,-0.023220627081413286,0.006137654052945499,-0.010715472756953344,-0.001635152215519696,-0.040586207605375214,0.01450865360222657,-0.009108613756293451,-0.018791835858422642
V44,-0.020560529747139067,0.008295747727243223,-4.997827831500614e-4,0.010269139663934704,0.019431039925785803,0.0010553401260801596,0.009701080890667345,-0.022616996971810695,-0.0334350850593808,-0.010007287467874146,0.019069196033032712,-0.02685696061045121,-1.4432978991619607e-4,0.01671476082800248,-0.0024611740693775905,0.028785308035940503,-6.080590620355593e-4,-0.04235398969001373,-0.015977107698822768,-0.015532906259997271,0.0056882014052034345,-0.007710458504116221,-0.016951901714215695,0.004790687260280177,0.0022053287215395576,-0.008981088535222299,0.005807540420958233,-0.017924013209495448,-0.00558936874235685,-0.010049856577444297
V45,0.007176143629860464,-0.021800703086651142,-0.006799432316402748,-0.0048317286478604645,0.003364183868004016,0.008297836084948816,0.03228151199551956,0.01067722047187795,-0.012683699525995167,0.009389781545421624,0.0097095539648172809,0.009132080155480931,-0.0041177261154579795,0.004685411130166393,-0.02263600368731344,0.02099648744430402,0.0027912998421491123,-0.0033084943513810383,0.05796078846580434,-0.015594087609679144,0.00963723320859111,-0.0014721344740178013,0.014409053398656018,-0.005234225445767775,0.006098034960060845,0.014831162286262191,0.021714463432645752,-0.04567118423971167,-0.005898867914670462,-0.025527854412464794
V46,-0.0077397749948528655,-0.015333573175605394,8.470731874811826e-5,0.005279281713406181,0.010339382514293645,0.010925907633958976,0.010925092490095881,0.01863644779986071,-0.012082131157570423,0.006389686596816919,-0.010870887384207217,0.002728980076375847,0.0282042972714306,0.019838405567336237,0.0036082967757134054,-1.1859016647548281e-4,-0.011938796246285575,0.008907612217631226,0.01821319679693339,-0.03379316300025522,-0.027479726081737006,-0.045074836759430865,-0.024687148724616494,0.007915960961074844,0.014144932092069872,-0.02033965708970573,-0.044723298220958926,0.024209750920142176,-0.006419155317774548,0.03257850098294143
